device,category,soc,ram_gb,sticker_usd,watts_load,model,quant,tok_s_gen,backend,source_url,notes,prefill_tok_s,ctx_tokens,evidence,measured_date,machine_id,prefill_cold_verified,price_source,price_date,price_status
OrangePi 5 Max 16GB,sbc,RK3588,16,346.99,12,Qwen 2.5 0.5B,W8A8,28,RKLLama NPU,est,Best 16GB SBC,,,ESTIMATED,,,,https://dev.to/revenueclaw/orange-pi-5-max-vs-rock-5b-the-32gb-sbc-battle-in-2026-3ho0,2026,"REPRICED from $125 (16GB tier; note the 32GB tier is CHEAPER at $211.99 - stock anomaly, verify before quoting)"
OrangePi 5 Ultra 16GB,sbc,RK3588,16,309.00,12,Qwen 2.5 0.5B,W8A8,28,RKLLama NPU,est,,,,ESTIMATED,,,,https://www.cnx-software.com/2026/04/28/what-a-difference-two-years-make-comparing-sbc-prices-in-2024-and-2026,2026-04-28,REPRICED from $125 (+148%; no stock/price for 8GB)
OrangePi 5 Plus 16GB,sbc,RK3588,16,129,15,Qwen 2.5 0.5B,Q4_K_M,22,llama.cpp CPU,est,LPDDR4X bottleneck,,,ESTIMATED,,,,,,"STALE - 2024/2025 price, unverified for 2026"
OrangePi 5 Plus 32GB,sbc,RK3588,32,189,15,Qwen 2.5 0.5B,Q4_K_M,22,llama.cpp CPU,est,,,,ESTIMATED,,,,,,"STALE - 2024/2025 price, unverified for 2026"
OrangePi 6 Plus 32GB,sbc,CIX P1 CD8160 (CORRECTED from CD8180 - unverified),32,268.89,25,Qwen 2.5 0.5B,Q4_K_M,32,llama.cpp Vulkan,est,"SUPERSEDED by first-party measurement rows below. Prior est claimed 32 tok/s on llama.cpp Vulkan; Mali-G720 offloads 0/29 layers - GPU path does not exist. PRICE CORRECTED 300->268.89 (CNX Software 2025-10-15, AliExpress 32GB w/ heatsink+PSU). NPU 45 TOPS claim unreachable for LLM: Zhouyi does not do autoregressive decode.",,,RETRACTED,,,,https://www.cnx-software.com/2025/10/15/orange-pi-6-plus-cix-p1-sbc-64gb-lpddr5-45-tops-ai-performance,2025-10-15,"SOURCED - predates worst hikes, re-verify before quoting"
Radxa Rock 5B+ 16GB,sbc,RK3588,16,119,12,Qwen 2.5 0.5B,W8A8,28,RKLLama NPU,est,Best Linux support SBC,,,ESTIMATED,,,,,,"STALE - 2024/2025 price, unverified for 2026"
Radxa Rock 5B+ 24GB,sbc,RK3588,24,159,12,Qwen 2.5 0.5B,W8A8,28,RKLLama NPU,est,,,,ESTIMATED,,,,,,"STALE - 2024/2025 price, unverified for 2026"
Radxa Rock 5B+ 32GB,sbc,RK3588,32,189,12,Qwen 2.5 0.5B,W8A8,28,RKLLama NPU,est,,,,ESTIMATED,,,,,,"STALE - 2024/2025 price, unverified for 2026"
Radxa Rock 5 ITX+ 32GB,sbc,RK3588,32,219,15,Qwen 2.5 0.5B,W8A8,28,RKLLama NPU,est,Mini-ITX,,,ESTIMATED,,,,,,"STALE - 2024/2025 price, unverified for 2026"
Radxa Rock 5T 32GB,sbc,RK3588,32,249,15,Qwen 2.5 0.5B,W8A8,28,RKLLama NPU,est,Industrial,,,ESTIMATED,,,,,,"STALE - 2024/2025 price, unverified for 2026"
Radxa Orion O6 32GB,sbc,CIX P1 CD8180,32,280,25,Qwen 2.5 0.5B,Q4_K_M,32,llama.cpp Vulkan,est,"SoC family shared with OPi 6+, but CD8180 vs CD8160 unverified. Vulkan backend claim unsupported - see OPi 6+ retraction.",,,ESTIMATED-DISPUTED,,,,,,"STALE - 2024/2025 price, unverified for 2026"
Radxa X4,sbc,Intel N100,16,265.99,15,Qwen 2.5 0.5B,Q4_K_M,30,llama.cpp,est,x86 alternative,,,ESTIMATED,,,,https://www.cnx-software.com/2026/04/28/what-a-difference-two-years-make-comparing-sbc-prices-in-2024-and-2026,2026-04-28,REPRICED from $80 (+233.5% - worst hike in the set)
Jetson Orin Nano 8GB,sbc,NVIDIA Ampere,8,399.00,15,Llama 3.2 1B,Q4,60,Ollama CUDA,est,CUDA advantage,,,ESTIMATED,,,,https://hwbusters.com/news/nvidia-jetson-prices-jump-up-to-101-the-249-orin-nano-super-is-now-399,2026,REPRICED from $499 (NVIDIA repriced $249->$399; repo's $499 was the OLD non-Super kit)
OrangePi 6 Plus 32GB,sbc,CIX P1 CD8160,32,300,not measured,qwen3:0.6b,Q4_K_M (ollama default),27.38,ollama 0.18.0 / llama.cpp CPU (0 of N layers on GPU),first-party: /home/orangepi/bench_cix_p1.py,thermal max 57.0C after run,73.78,24,MEASURED-FIRST-PARTY,2026-08-27,CIX P1 CD8160/30.9GB/Mali-G720-Immortalis/ollama0.18.0/k6.6.89-cix,"yes (single cold run, no cache reuse)",https://www.cnx-software.com/2025/10/15/orange-pi-6-plus-cix-p1-sbc-64gb-lpddr5-45-tops-ai-performance,2025-10-15,"SOURCED - predates worst hikes, re-verify before quoting"
OrangePi 6 Plus 32GB,sbc,CIX P1 CD8160,32,300,not measured,qwen3:0.6b,Q4_K_M (ollama default),12.56,ollama 0.18.0 / llama.cpp CPU (0 of N layers on GPU),first-party: /home/orangepi/bench_cix_p1.py,thermal max 61.0C after run,49.9,2232,MEASURED-FIRST-PARTY,2026-08-27,CIX P1 CD8160/30.9GB/Mali-G720-Immortalis/ollama0.18.0/k6.6.89-cix,"yes (single cold run, no cache reuse)",https://www.cnx-software.com/2025/10/15/orange-pi-6-plus-cix-p1-sbc-64gb-lpddr5-45-tops-ai-performance,2025-10-15,"SOURCED - predates worst hikes, re-verify before quoting"
OrangePi 6 Plus 32GB,sbc,CIX P1 CD8160,32,300,not measured,qwen3:4b,Q4_K_M (ollama default),7.19,ollama 0.18.0 / llama.cpp CPU (0 of N layers on GPU),first-party: /home/orangepi/bench_cix_p1.py,thermal max 70.0C after run,20.04,24,MEASURED-FIRST-PARTY,2026-08-27,CIX P1 CD8160/30.9GB/Mali-G720-Immortalis/ollama0.18.0/k6.6.89-cix,"yes (single cold run, no cache reuse)",https://www.cnx-software.com/2025/10/15/orange-pi-6-plus-cix-p1-sbc-64gb-lpddr5-45-tops-ai-performance,2025-10-15,"SOURCED - predates worst hikes, re-verify before quoting"
OrangePi 6 Plus 32GB,sbc,CIX P1 CD8160,32,300,not measured,qwen3:4b,Q4_K_M (ollama default),5.1,ollama 0.18.0 / llama.cpp CPU (0 of N layers on GPU),first-party: /home/orangepi/bench_cix_p1.py,thermal max 68.0C after run,12.4,2232,MEASURED-FIRST-PARTY,2026-08-27,CIX P1 CD8160/30.9GB/Mali-G720-Immortalis/ollama0.18.0/k6.6.89-cix,"yes (single cold run, no cache reuse)",https://www.cnx-software.com/2025/10/15/orange-pi-6-plus-cix-p1-sbc-64gb-lpddr5-45-tops-ai-performance,2025-10-15,"SOURCED - predates worst hikes, re-verify before quoting"
OrangePi 6 Plus 32GB,sbc,CIX P1 CD8160,32,268.89,not measured,qwen3:8b,Q4_K_M (ollama default),4.79,ollama 0.18.0 / llama.cpp CPU (0 of 37 layers on GPU),first-party: /home/orangepi/bench_cix_p1_v2.py,"decode median of 3 runs [5.12,4.68,4.79]; peak RSS 5.58GB; no swap; 72C",77.13,24,MEASURED-FIRST-PARTY,2026-08-27,CIX P1 CD8160/30.9GB/Mali-G720-Immortalis/ollama0.18.0/k6.6.89-cix,"yes (24-tok prompt, cold)",https://www.cnx-software.com/2025/10/15/orange-pi-6-plus-cix-p1-sbc-64gb-lpddr5-45-tops-ai-performance,2025-10-15,"SOURCED - predates worst hikes, re-verify before quoting"
OrangePi 6 Plus 32GB,sbc,CIX P1 CD8160,32,268.89,not measured,qwen3:8b,Q4_K_M (ollama default),3.69,ollama 0.18.0 / llama.cpp CPU (0 of 37 layers on GPU),first-party: /home/orangepi/probe_prefill.py (cache-busted),"COLD prefill 276.66s wall to ingest 2250 tok = 4min37s to first token. Cached rerun of same prompt reports 7962 tok/s - a 979x artifact, discarded.",8.13,2250,MEASURED-FIRST-PARTY,2026-08-27,CIX P1 CD8160/30.9GB/Mali-G720-Immortalis/ollama0.18.0/k6.6.89-cix,yes (unique prefix forced cold prefill),https://www.cnx-software.com/2025/10/15/orange-pi-6-plus-cix-p1-sbc-64gb-lpddr5-45-tops-ai-performance,2025-10-15,"SOURCED - predates worst hikes, re-verify before quoting"
OrangePi 6 Plus 32GB,sbc,CIX P1 CD8160,32,268.89,not measured,"qwen3:30b-a3b (MoE, 3B active)",Q4_K_M (ollama default),6.45,ollama 0.18.0 / llama.cpp CPU (0 of 49 layers on GPU),first-party: /home/orangepi/bench_cix_p1_v2.py (cache-busted),"MoE beats dense 8B despite 3.5x disk size. peak RSS 17.81GB, no swap, 63.0C, TTFT 314.65s. decode samples [6.51, 6.38]",24.96,48,MEASURED-FIRST-PARTY,2026-08-27,CIX P1 CD8160/30.9GB/Mali-G720-Immortalis/ollama0.18.0/k6.6.89-cix,yes (unique prefix per run),https://www.cnx-software.com/2025/10/15/orange-pi-6-plus-cix-p1-sbc-64gb-lpddr5-45-tops-ai-performance,2025-10-15,"SOURCED - predates worst hikes, re-verify before quoting"
OrangePi 6 Plus 32GB,sbc,CIX P1 CD8160,32,268.89,not measured,"qwen3:30b-a3b (MoE, 3B active)",Q4_K_M (ollama default),4.67,ollama 0.18.0 / llama.cpp CPU (0 of 49 layers on GPU),first-party: /home/orangepi/bench_cix_p1_v2.py (cache-busted),"MoE beats dense 8B despite 3.5x disk size. peak RSS 17.9GB, no swap, 68.0C, TTFT 158.84s. decode samples [4.67]",14.23,2257,MEASURED-FIRST-PARTY,2026-08-27,CIX P1 CD8160/30.9GB/Mali-G720-Immortalis/ollama0.18.0/k6.6.89-cix,yes (unique prefix per run),https://www.cnx-software.com/2025/10/15/orange-pi-6-plus-cix-p1-sbc-64gb-lpddr5-45-tops-ai-performance,2025-10-15,"SOURCED - predates worst hikes, re-verify before quoting"
